date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,greatest losses direction,vehicles and fuel tanks,cruise missiles,Total Air Units,Total Naval Units,Total Ground Units
25/02/2022,2,10,7,80,516,49,4,100.0,60.0,0,2,0,0.0,0.0,,0.0,0.0,17.0,2,649.0
26/02/2022,3,27,26,146,706,49,4,130.0,60.0,2,2,0,0.0,0.0,,0.0,0.0,55.0,2,905.0
27/02/2022,4,27,26,150,706,50,4,130.0,60.0,2,2,0,0.0,0.0,,0.0,0.0,55.0,2,910.0
28/02/2022,5,29,29,150,816,74,21,291.0,60.0,3,2,5,0.0,0.0,,0.0,0.0,61.0,2,1066.0
01/03/2022,6,29,29,198,846,77,24,305.0,60.0,3,2,7,0.0,0.0,,0.0,0.0,61.0,2,1152.0
02/03/2022,7,30,31,211,862,85,40,355.0,60.0,3,2,9,0.0,0.0,,0.0,0.0,64.0,2,1207.0
03/03/2022,8,30,31,217,900,90,42,374.0,60.0,3,2,11,0.0,0.0,,0.0,0.0,64.0,2,1260.0
04/03/2022,9,33,37,251,939,105,50,404.0,60.0,3,2,18,0.0,0.0,,0.0,0.0,73.0,2,1363.0
05/03/2022,10,39,40,269,945,105,50,409.0,60.0,3,2,19,0.0,0.0,,0.0,0.0,82.0,2,1388.0
06/03/2022,11,44,48,285,985,109,50,447.0,60.0,4,2,21,0.0,0.0,,0.0,0.0,96.0,2,1450.0
07/03/2022,12,46,68,290,999,117,50,454.0,60.0,7,3,23,0.0,0.0,,0.0,0.0,121.0,3,1479.0
08/03/2022,13,48,80,303,1036,120,56,474.0,60.0,7,3,27,0.0,0.0,,0.0,0.0,135.0,3,1542.0
09/03/2022,14,49,81,317,1070,120,56,482.0,60.0,7,3,28,0.0,0.0,,0.0,0.0,137.0,3,1591.0
10/03/2022,15,49,81,335,1105,123,56,526.0,60.0,7,3,29,0.0,0.0,,0.0,0.0,137.0,3,1648.0
11/03/2022,16,57,83,353,1165,125,58,558.0,60.0,7,3,31,0.0,0.0,,0.0,0.0,147.0,3,1732.0
12/03/2022,17,58,83,362,1205,135,62,585.0,60.0,7,3,33,0.0,0.0,,0.0,0.0,148.0,3,1797.0
13/03/2022,18,74,86,374,1226,140,62,600.0,60.0,7,3,34,0.0,0.0,,0.0,0.0,167.0,3,1836.0
14/03/2022,19,77,90,389,1249,150,64,617.0,60.0,8,3,34,0.0,0.0,,0.0,0.0,175.0,3,1886.0
15/03/2022,20,81,95,404,1279,150,64,640.0,60.0,9,3,36,0.0,0.0,,0.0,0.0,185.0,3,1933.0
16/03/2022,21,84,108,430,1375,190,70,819.0,60.0,11,3,43,10.0,0.0,,0.0,0.0,203.0,3,2118.0
17/03/2022,22,86,108,444,1435,201,72,864.0,60.0,11,3,43,10.0,0.0,,0.0,0.0,205.0,3,2205.0
