LATITUDE,LONGITUDE,EVENT_DATE,EVENT_TYPE
44.156,28.948,2019-05-20,V
44.156,28.948,2022-03-28,S
44.156,28.948,2022-07-28,P
44.156,28.948,2022-07-31,S
44.156,28.948,2022-08-04,P
44.156,28.948,2022-09-08,E
44.156,28.948,2022-12-10,S
44.611,28.929,2023-01-16,S
42.039,35.224,2020-11-16,S
41.253,29.713,2021-11-03,S
41.24,29.128,2022-03-26,S
41.852,28.098,2022-03-28,S
41.162,30.154,2022-04-06,S
41.253,29.713,2022-06-30,S
41.253,29.713,2023-02-13,E
48.34,38.324,2018-01-01,B
48.431,38.255,2018-01-01,E
47.266,37.779,2018-01-01,B
47.148,37.788,2018-01-01,B
48.569,38.525,2018-01-01,E
48.214,37.88,2018-01-01,B
48.068,37.792,2018-01-01,E
47.242,37.792,2018-01-01,E
48.622,39.499,2018-01-01,B
48.274,37.972,2018-01-01,E
48.133,37.808,2018-01-01,E
47.232,37.977,2018-01-01,E
48.429,38.009,2018-01-01,E
48.515,32.254,2018-01-01,P
48.139,37.75,2018-01-01,P
50.265,28.677,2018-01-01,P
49.594,34.541,2018-01-01,P
49.428,32.062,2018-01-01,P
48.015,37.801,2018-01-01,B
48.044,37.746,2018-01-01,E
48.459,35.039,2018-01-01,P
50.623,26.227,2018-01-01,P
48.853,37.606,2018-01-01,P
50.922,34.8,2018-01-01,P
49.556,25.606,2018-01-01,P
47.848,35.16,2018-01-01,P
49.981,36.253,2018-01-01,P
46.656,32.618,2018-01-01,P
47.909,33.393,2018-01-01,P
49.841,24.03,2018-01-01,P
46.849,35.365,2018-01-01,P
48.006,37.51,2018-01-01,S
48.723,38.635,2018-01-01,E
49.711,37.615,2018-01-01,P
50.45,30.522,2018-01-01,P
46.464,30.739,2018-01-01,V
47.297,37.908,2018-01-01,E
48.13,37.859,2018-01-01,E
48.139,37.75,2018-01-02,E
47.207,37.75,2018-01-02,B
47.945,37.547,2018-01-02,B
48.429,38.009,2018-01-02,B
48.079,37.764,2018-01-02,B
48.569,38.525,2018-01-02,E
48.262,38.043,2018-01-02,E
48.431,38.255,2018-01-02,E
48.133,37.808,2018-01-02,B
48.618,39.449,2018-01-02,E
47.148,37.788,2018-01-02,B
47.195,37.847,2018-01-02,B
47.242,37.792,2018-01-02,B
47.922,37.571,2018-01-02,B
50.465,30.465,2018-01-02,R
48.313,38.042,2018-01-03,E
47.175,37.811,2018-01-03,E
48.139,37.75,2018-01-03,B
47.148,37.788,2018-01-03,E
47.945,37.547,2018-01-03,B
48.32,37.922,2018-01-03,B
48.416,38.135,2018-01-03,B
48.068,37.792,2018-01-03,E
47.099,37.82,2018-01-03,B
48.252,37.936,2018-01-03,E
48.133,37.808,2018-01-03,B
48.274,37.972,2018-01-03,E
48.262,38.043,2018-01-03,E
48.431,38.255,2018-01-03,E
48.772,38.063,2018-01-03,B
48.584,38.357,2018-01-03,E
48.804,38.736,2018-01-03,B
48.096,37.721,2018-01-03,E
48.429,38.009,2018-01-03,E
48.633,38.378,2018-01-03,B
47.848,35.16,2018-01-03,P
47.968,37.548,2018-01-03,E
50.427,30.545,2018-01-03,P
47.943,37.505,2018-01-03,E
48.431,38.255,2018-01-04,E
48.214,37.88,2018-01-04,B
48.143,37.826,2018-01-04,E
48.1,37.825,2018-01-04,E
48.262,38.043,2018-01-04,E
48.663,39.31,2018-01-04,E
48.09,37.825,2018-01-04,E
48.274,37.972,2018-01-04,B
48.518,38.232,2018-01-04,E
47.148,37.788,2018-01-04,E
48.133,37.808,2018-01-04,B
48.172,37.86,2018-01-04,B
49.841,24.03,2018-01-04,P
50.493,30.441,2018-01-04,P
50.529,30.475,2018-01-04,S
46.656,32.618,2018-01-04,P
48.399,38.355,2018-01-05,E
48.438,38.224,2018-01-05,B
48.38,38.347,2018-01-05,E
48.431,38.255,2018-01-05,E
48.356,37.927,2018-01-05,B
48.429,38.009,2018-01-05,B
48.068,37.792,2018-01-05,B
48.143,37.826,2018-01-05,B
48.252,37.936,2018-01-05,E
48.1,37.825,2018-01-05,B
47.175,37.811,2018-01-05,E
48.186,37.95,2018-01-05,E
48.62,38.492,2018-01-05,B
47.943,37.505,2018-01-05,E
48.133,37.808,2018-01-05,B
48.03,38.468,2018-01-05,E
47.148,37.788,2018-01-05,E
47.945,37.547,2018-01-05,B
48.172,37.86,2018-01-05,E
47.242,37.792,2018-01-05,E
47.848,35.16,2018-01-05,P
47.848,35.16,2018-01-05,P
44.612,33.524,2018-01-05,P
50.427,30.545,2018-01-05,P
48.473,38.457,2018-01-06,E
48.313,38.042,2018-01-06,B
48.13,37.859,2018-01-06,E
48.079,37.764,2018-01-06,B
48.654,39.479,2018-01-06,B
48.534,38.4,2018-01-06,E
48.426,38.171,2018-01-06,B
48.139,37.75,2018-01-06,B
48.133,37.808,2018-01-06,B
47.945,37.547,2018-01-06,B
47.266,37.779,2018-01-06,E
47.148,37.788,2018-01-06,B
48.143,37.826,2018-01-06,B
48.431,38.255,2018-01-06,E
48.62,38.492,2018-01-06,B
47.242,37.792,2018-01-06,E
48.1,37.825,2018-01-06,E
47.943,37.505,2018-01-06,E
47.567,35.786,2018-01-06,P
47.848,35.16,2018-01-06,P
46.464,30.739,2018-01-06,P
50.427,30.545,2018-01-06,P
48.569,38.525,2018-01-06,S
48.015,37.801,2018-01-06,S
48.4,37.971,2018-01-06,B
48.399,38.355,2018-01-07,B
48.244,37.975,2018-01-07,E
48.13,37.859,2018-01-07,B
48.313,38.042,2018-01-07,E
48.214,37.88,2018-01-07,B
48.338,37.975,2018-01-07,E
47.175,37.811,2018-01-07,B
48.133,37.808,2018-01-07,B
47.09,37.784,2018-01-07,B
47.091,37.756,2018-01-07,B
48.274,37.972,2018-01-07,E
47.242,37.792,2018-01-07,E
48.473,38.457,2018-01-07,E
47.148,37.788,2018-01-07,B
48.096,37.721,2018-01-07,B
48.143,37.826,2018-01-07,B
47.922,37.571,2018-01-07,E
47.127,37.753,2018-01-07,B
48.015,37.801,2018-01-07,B
44.612,33.524,2018-01-07,P
48.676,39.027,2018-01-07,E
48.633,38.378,2018-01-08,E
48.143,37.826,2018-01-08,B
48.399,38.355,2018-01-08,E
47.266,37.779,2018-01-08,E
48.079,37.764,2018-01-08,B
48.429,38.009,2018-01-08,B
47.749,37.678,2018-01-08,B
47.192,37.725,2018-01-08,E
48.431,38.255,2018-01-08,E
48.438,38.224,2018-01-08,E
48.244,37.975,2018-01-08,E
48.053,37.71,2018-01-08,B
48.062,37.697,2018-01-08,E
48.067,37.666,2018-01-08,E
47.905,38.845,2018-01-08,E
48.473,38.457,2018-01-08,E
47.13,37.836,2018-01-08,B
48.068,37.792,2018-01-08,B
48.38,38.347,2018-01-08,E
